short_name,overall,nationality,team_position,age,height_cm,weight_kg,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes
Yeun Jong Gyu,60,Korea Republic,RM,21,173,65,59,40,49,58,23,55,26,34,48,56,77,72,70,61,69,32,66,60,58,41,58,56,59,62,29,47,52,61,57,12,11,5,6,15
Yeom Ki Hun,70,Korea Republic,CAM,36,182,80,75,68,68,72,69,70,77,78,71,70,67,59,69,71,73,74,67,67,76,71,57,63,73,76,72,73,46,23,22,7,6,7,12,11
Yang Xu,65,China PR,ST,32,188,80,37,62,72,56,57,57,63,67,48,61,42,59,56,64,59,72,70,63,80,47,58,11,71,44,48,59,21,34,24,9,7,9,10,15
Yang Xiaotian,63,China PR,LB,29,178,72,62,57,65,62,52,64,46,41,53,57,66,69,72,59,60,52,72,72,69,59,69,61,61,62,40,50,63,61,59,7,14,11,7,14
Yang Shanping,62,China PR,RCB,31,188,80,44,38,48,50,41,51,29,31,49,54,47,52,54,57,57,33,69,66,73,42,73,60,40,31,26,62,62,60,60,7,8,15,13,15
Yang Sang Min,64,Korea Republic,CB,35,182,78,62,51,59,54,32,63,60,63,57,60,63,63,61,60,69,70,79,49,70,55,64,65,55,58,51,56,63,64,60,14,10,14,16,13
Y. Yoshida,67,Japan,LB,29,168,70,68,22,53,66,24,63,58,31,50,65,79,70,80,67,87,47,91,71,65,35,60,62,59,62,30,57,63,69,64,14,9,12,8,11
Y. Valery,69,France,RWB,20,180,70,64,42,56,61,34,66,43,41,55,65,73,70,61,67,67,58,52,74,69,53,77,66,57,53,41,61,70,74,66,12,14,7,11,14
Y. Urra,67,Chile,GK,22,190,88,17,8,12,29,8,13,15,13,28,35,23,26,22,62,35,50,60,24,71,9,29,9,4,46,21,46,11,9,13,66,65,66,68,67
Y. Thuram,66,France,GK,30,187,85,12,14,14,27,14,11,9,19,39,13,39,39,70,65,46,45,67,34,84,14,15,23,12,42,35,54,13,17,9,66,62,60,67,68
Y. Thoelen,69,Belgium,GK,28,188,89,14,11,13,26,13,12,16,17,33,19,36,42,43,61,33,49,68,27,61,12,27,13,5,40,20,36,10,20,19,67,72,65,68,69
Y. Takaoka,62,Japan,GK,23,181,72,13,9,14,25,7,11,14,13,22,15,21,26,33,61,41,42,51,18,61,6,21,14,6,32,17,21,17,13,14,63,61,56,56,65
Y. Takahagi,68,Japan,LDM,32,183,69,55,62,38,71,64,64,65,66,69,69,36,34,63,57,68,55,54,60,63,63,60,63,70,74,60,67,48,63,52,15,10,16,13,15
Y. Suzuki,65,Japan,CB,26,184,72,37,36,67,51,32,35,26,31,50,39,58,63,47,62,65,47,77,71,71,31,56,65,32,31,37,55,67,67,65,10,6,12,8,13
Y. Stark,70,Germany,RDM,28,185,81,63,56,68,70,57,62,59,60,65,68,68,71,67,67,64,77,79,78,77,72,81,64,57,64,64,71,68,70,68,8,7,14,8,7
Y. Severin,60,France,LB,22,186,78,55,24,57,56,24,31,23,28,46,57,60,67,48,57,57,40,59,53,73,17,48,56,21,35,42,53,63,64,60,14,9,11,6,12
Y. Roche,66,France,RCB,21,182,78,35,26,63,57,28,38,37,28,38,56,61,63,57,61,61,44,63,73,73,25,68,66,29,31,46,52,63,65,64,6,7,7,6,12
Y. Pehlivan,65,Austria,LDM,30,184,70,43,50,61,66,70,61,48,37,60,62,68,71,72,70,58,70,70,81,65,66,71,65,43,61,44,63,53,60,56,7,8,15,6,14
Y. Opazo,63,Chile,RB,34,174,73,71,45,45,56,11,59,65,70,63,65,68,60,62,65,74,70,47,68,61,69,73,71,59,48,68,47,64,60,52,10,10,9,6,6
Y. Nogami,65,Japan,RCB,28,180,72,29,22,55,68,24,58,31,23,60,60,56,57,53,65,64,39,65,66,72,36,49,65,26,28,27,51,69,67,58,6,10,11,5,10
Y. Niakaté,70,France,ST,26,178,73,58,73,57,60,68,63,53,41,31,58,93,93,91,63,67,78,91,68,67,71,53,23,70,61,66,68,24,20,18,9,12,9,12,12
Y. Mutō,68,Japan,RF,30,170,68,60,67,60,67,59,68,57,57,61,64,76,68,71,67,75,75,77,87,63,70,54,36,67,69,71,50,34,45,23,8,15,11,12,6
Y. Mosquera,66,Colombia,LDM,30,178,80,51,31,62,62,45,61,40,36,59,66,56,50,64,71,63,68,66,74,73,50,73,66,39,58,44,48,57,68,65,9,13,13,12,10
Y. Misao,64,Japan,LCB,28,175,70,67,30,63,62,34,54,68,52,65,63,69,72,75,61,68,66,81,78,66,47,63,61,42,56,46,53,58,63,59,13,12,11,6,12
Y. Matsushita,64,Japan,LDM,25,174,67,68,57,48,64,40,60,52,37,60,67,75,75,59,53,76,56,57,63,60,44,53,48,57,60,44,51,38,41,42,9,14,6,5,9
Y. Maruhashi,66,Japan,LB,28,178,73,69,51,39,69,41,65,64,67,63,63,74,78,79,64,70,61,63,74,66,36,46,55,63,45,34,51,57,63,66,11,8,5,15,9
Y. Mamilonne,64,France,RS,27,190,87,30,67,70,54,55,55,32,38,47,60,66,67,58,58,39,54,61,57,84,54,54,20,66,47,65,60,22,22,19,8,10,13,10,8
Y. Konno,67,Japan,CDM,36,178,73,57,53,70,75,39,46,30,31,69,57,30,33,57,56,60,46,68,60,73,59,70,67,44,67,29,76,65,67,67,11,12,9,15,14
Y. Koike,62,Japan,LB,22,170,64,69,50,34,60,40,70,74,71,61,66,79,73,84,63,88,69,79,38,40,68,58,62,48,60,56,44,59,60,65,12,13,14,5,15
Y. Kimoto,63,Japan,RCM,25,183,73,43,34,66,59,36,42,39,33,53,48,65,55,56,58,61,53,68,72,78,37,53,65,54,53,38,47,55,66,61,11,7,9,13,10
Y. Kawai,65,Japan,CAM,29,166,59,62,58,41,69,62,65,52,56,64,66,63,62,80,58,65,53,69,60,54,65,50,58,60,62,52,52,59,64,63,9,8,13,14,9
Y. Kaabouni,63,France,LDM,24,179,66,56,50,54,63,53,62,60,59,59,64,65,70,74,62,73,55,53,52,56,50,63,49,61,64,54,57,35,50,48,13,6,13,9,14
Y. Ibrahimaj,65,Kosovo,LCM,23,178,70,65,60,38,65,58,66,60,62,60,67,79,77,75,62,73,59,67,79,52,55,70,52,64,69,53,63,53,56,52,14,11,11,9,6
Y. Hurtado,66,Colombia,RB,22,170,67,72,45,49,64,32,57,38,31,54,58,66,65,70,58,86,48,84,89,64,44,55,63,59,61,43,56,65,63,61,8,14,13,10,12
Y. Hiraoka,64,Japan,LCB,33,183,70,21,17,45,63,23,28,27,21,22,54,42,41,36,70,57,39,72,66,67,23,56,66,27,33,31,52,65,69,68,12,8,13,14,12
Y. Hashiuchi,63,Japan,LCB,31,175,72,41,27,55,63,24,45,30,23,54,51,56,55,51,63,72,56,71,55,66,38,58,61,24,35,26,52,60,67,62,7,15,13,10,6
Y. Hamed,64,Romania,RM,19,178,66,61,56,48,54,52,63,48,33,53,61,90,93,71,51,72,67,34,73,57,48,31,18,56,55,42,48,28,24,26,8,11,6,13,10
Y. Guzmán,67,Colombia,CAM,21,172,64,52,61,48,62,44,73,54,62,54,74,79,71,75,53,91,51,70,53,37,48,38,14,62,73,55,69,54,17,13,8,13,9,15,10
Y. Gomis,70,Senegal,ST,27,180,76,46,68,68,48,62,70,52,38,37,71,82,82,76,61,68,70,52,72,75,68,38,14,74,40,66,58,37,24,28,6,14,7,15,15
Y. Gómez,61,Colombia,LB,21,176,67,55,25,35,56,23,59,27,31,30,58,81,87,72,58,69,28,58,65,59,28,50,56,46,31,38,46,63,56,58,5,7,10,6,10
Y. Díaz,64,Colombia,LM,27,178,70,60,58,43,59,50,66,42,25,54,58,83,84,76,53,71,62,59,69,70,55,43,42,57,59,57,64,29,28,25,8,14,12,11,6
Y. Brecher,66,Switzerland,GK,26,196,88,12,13,13,37,14,16,18,17,23,22,38,42,37,60,44,50,70,24,67,18,19,21,18,37,24,50,25,20,17,68,57,67,68,71
Y. Boé-Kane,67,France,LDM,28,185,76,55,34,66,65,32,57,37,37,62,61,57,60,51,63,55,66,77,77,72,45,70,69,35,55,48,62,64,68,64,6,10,11,9,9
Y. Ben Balla,61,France,LDM,23,180,75,31,49,48,63,38,61,35,31,58,59,67,66,69,54,69,62,58,62,59,55,72,59,50,52,39,42,55,62,60,13,15,12,14,7
Y. Armougom,67,France,LWB,21,173,71,68,32,49,65,27,65,59,45,42,64,75,73,63,62,77,75,57,64,56,43,60,65,55,45,40,53,59,69,67,13,5,14,7,13
Y. Andia,64,Chile,RB,26,175,71,61,56,56,70,43,67,42,37,64,65,65,65,62,60,71,62,65,76,65,52,62,55,55,54,43,65,58,63,61,10,9,7,6,7
Y. Anchico,66,Colombia,RDM,35,182,75,66,49,59,67,59,64,58,61,59,67,77,75,73,64,66,68,68,76,71,66,68,65,65,65,59,62,62,64,68,16,14,15,12,12
Xie Pengfei,65,China PR,RM,26,181,73,53,68,42,62,45,68,57,34,53,65,78,76,73,62,64,66,46,74,71,52,52,41,58,59,46,45,56,44,40,14,15,10,15,7
X. Schenk,66,Netherlands,LCB,26,187,88,68,41,65,68,34,54,32,36,72,69,63,59,55,60,51,52,65,69,83,52,68,59,45,43,42,56,59,66,63,12,12,10,13,10
X. Mous,67,Netherlands,GK,23,188,80,16,13,21,28,19,18,14,12,22,19,39,39,36,66,45,49,59,45,62,17,25,18,19,15,27,31,14,21,21,69,66,65,63,65
Wu Yan,65,China PR,GK,30,191,82,33,14,22,42,20,18,14,18,44,22,54,43,61,61,63,44,61,37,57,15,39,24,18,56,15,62,18,23,18,61,62,58,68,69
Wu Xi,69,China PR,RCM,30,180,75,68,61,65,69,66,65,63,54,71,70,74,72,65,66,63,75,59,76,70,72,55,62,62,70,62,55,64,63,63,8,9,10,14,6
Woo Ju Sung,66,Korea Republic,RB,26,184,75,60,42,67,62,21,57,26,56,52,59,62,63,58,65,61,59,75,77,75,58,70,71,43,47,32,59,57,65,64,7,10,8,7,9
Willyan,69,Brazil,LCB,24,193,86,31,24,70,53,32,40,33,28,34,45,49,51,33,67,37,47,59,63,85,28,70,65,23,29,40,56,66,73,66,14,6,6,11,10
Wellington,70,Brazil,RS,31,186,89,56,73,72,63,66,64,58,43,45,68,54,58,56,66,34,72,73,70,93,58,74,24,67,59,62,70,31,40,24,14,9,12,9,12
Welinton Júnior,67,Brazil,LS,26,175,64,54,65,61,61,66,68,60,52,52,67,80,76,83,65,79,72,64,65,42,61,29,20,70,59,66,64,20,15,15,11,16,12,15,16
Wang Tong,64,China PR,RB,26,179,71,64,58,54,65,52,60,32,32,59,57,76,81,70,58,67,55,53,70,70,18,55,57,57,63,28,45,65,58,63,13,12,10,10,7
Wang Shenchao,68,China PR,RM,30,180,72,59,24,54,60,27,59,35,28,39,57,74,67,64,68,69,35,68,83,67,27,64,72,45,43,34,64,66,68,71,11,8,11,11,11
Wang Shangyuan,64,China PR,CB,26,185,70,55,52,60,59,61,67,68,67,60,65,68,73,75,65,73,73,74,88,80,68,69,60,51,59,65,65,60,59,55,8,9,13,8,12
Wang Jinxian,63,China PR,RM,23,175,70,53,42,42,60,28,68,33,37,56,64,71,69,82,62,73,52,74,67,55,32,51,46,61,62,40,53,49,50,43,13,6,15,11,9
Wang Gang,65,China PR,RB,30,188,81,65,52,62,59,35,67,58,58,60,59,79,75,65,64,45,68,68,81,84,55,60,62,58,60,36,67,56,61,55,15,16,16,8,11
Wang Dalei,70,China PR,GK,30,187,91,10,16,20,30,4,24,23,18,55,22,63,56,52,69,53,57,71,45,46,12,37,14,14,65,22,62,17,12,12,69,68,76,65,70
Wanderson,68,Brazil,CAM,33,180,75,65,67,65,68,67,69,71,68,66,70,58,58,62,66,66,73,50,60,62,68,66,14,67,71,68,73,45,15,19,8,10,9,13,16
Wanderson,64,Brazil,RAM,30,172,60,57,63,51,57,53,65,45,52,53,63,82,91,77,57,68,61,76,68,70,60,61,56,57,54,55,59,52,57,56,12,10,7,10,8
Wan Houliang,60,China PR,RCB,33,188,81,23,16,64,52,16,36,21,17,59,45,48,50,79,57,60,48,63,74,70,26,69,55,45,45,23,45,58,57,59,11,13,8,9,11
W. Suwayyid,62,Saudi Arabia,LB,31,174,66,61,46,43,61,41,55,51,43,59,58,73,72,73,61,66,61,76,79,70,44,72,59,52,59,50,62,55,56,58,9,11,8,16,7
W. Sandilands,68,South Africa,GK,35,180,81,13,11,11,19,11,11,10,12,21,35,50,56,57,61,45,50,75,26,72,11,46,22,12,14,37,62,17,15,10,66,70,67,68,68
W. Piñones,61,Chile,LB,31,176,70,57,34,53,69,45,54,47,39,63,51,60,50,62,62,68,55,71,69,61,45,66,54,56,48,49,48,65,63,61,10,13,6,12,5
W. Pacheco,67,Colombia,RB,24,173,60,66,44,44,63,31,63,37,35,52,57,92,87,81,58,85,37,89,85,44,33,74,65,62,45,39,50,60,62,63,7,12,13,7,12
W. Nightingale,63,England,CB,23,185,84,24,19,59,44,26,31,24,29,37,52,66,68,57,50,64,39,82,65,73,23,46,54,30,28,31,44,65,70,66,11,10,15,11,16
W. Jordán,64,Colombia,ST,28,183,87,48,66,64,56,58,63,60,47,59,65,55,45,64,61,57,72,31,73,77,52,34,48,62,65,56,60,35,22,12,16,9,6,9,12
W. Johnson,69,Canada,LCM,32,178,72,56,59,60,72,72,64,70,69,69,64,62,52,63,63,70,75,64,75,70,67,75,63,60,62,72,63,64,69,68,14,8,13,10,12
W. Jobello,64,France,RW,25,179,68,58,65,62,61,64,70,58,42,53,65,78,75,64,58,62,68,62,60,58,62,41,29,54,57,64,52,23,17,19,16,13,9,9,12
W. Janssens,64,Belgium,RCB,23,185,70,54,63,65,54,60,63,54,45,42,61,61,73,73,57,71,70,80,43,59,63,70,58,42,45,61,62,66,63,64,14,15,11,8,10
W. Hoolahan,70,Republic of Ireland,CAM,37,168,71,72,63,43,74,62,70,73,67,71,76,54,50,64,64,88,70,33,41,53,66,39,35,62,76,77,73,42,51,36,13,7,16,11,16
W. Grigg,70,Northern Ireland,RS,27,180,70,31,72,66,59,70,64,39,50,40,63,76,76,72,68,73,68,73,79,74,67,50,22,73,54,72,67,26,37,20,12,9,13,15,10
W. Faes,70,Belgium,LCB,21,187,82,31,29,70,68,23,52,21,35,64,63,64,60,47,63,66,46,70,65,78,26,72,65,38,42,42,66,70,69,71,12,10,8,7,7
W. Eskelinen,66,Sweden,GK,22,191,84,20,13,18,46,17,14,15,12,52,21,28,37,30,60,48,50,53,39,64,12,20,14,12,36,21,47,20,16,14,67,64,67,63,69
W. Ditta,67,Colombia,RCB,22,180,80,25,22,66,62,27,46,24,22,57,58,55,59,49,62,60,32,79,69,83,20,74,65,25,40,31,68,57,65,61,14,6,7,15,8
W. de la Rosa,66,Colombia,ST,26,166,64,44,68,58,58,57,68,42,36,39,65,90,83,92,64,91,65,90,66,38,54,30,30,68,54,65,56,33,16,13,7,14,9,10,6
W. Burns,64,Wales,RW,24,173,68,61,62,59,56,48,64,46,46,56,62,92,92,61,58,71,62,74,70,61,51,38,22,56,53,63,51,30,39,37,8,13,13,8,9
W. Boyle,61,England,LCB,23,191,84,32,25,65,44,24,28,26,27,34,48,59,52,37,46,57,37,72,70,74,20,61,58,24,34,41,53,60,63,60,8,15,13,13,7
W. Bakhashwain,68,Saudi Arabia,RDM,29,176,66,48,31,66,67,26,67,45,47,62,66,60,66,69,66,63,71,74,77,80,55,78,68,57,58,34,73,66,65,66,15,9,11,12,8
Víctor Ruiz,61,Spain,LCM,25,172,68,53,50,38,61,56,64,48,38,50,62,73,80,83,56,73,61,37,63,43,46,40,31,53,59,36,57,34,26,27,9,8,8,6,7
Victor Fachinhas,70,Brazil,GK,35,182,77,11,8,9,20,8,9,9,23,18,17,33,42,39,66,37,44,77,33,59,9,39,13,13,62,24,56,27,8,9,69,73,58,63,74
Varela,69,Spain,LB,24,174,68,69,53,60,67,30,68,69,71,59,69,74,77,84,68,77,59,84,74,54,53,66,65,66,59,56,58,64,63,66,16,12,7,15,14
Valverde,65,Spain,RM,34,174,67,66,59,32,61,54,66,62,50,60,65,78,79,67,61,60,60,65,64,39,58,53,24,63,50,50,59,18,25,15,9,7,7,13,5
Vagnão Junior,64,Brazil,LS,27,172,62,72,64,51,62,71,75,66,65,51,71,84,71,91,61,91,59,52,61,39,61,31,31,62,64,64,66,17,32,31,9,16,15,8,8
V. Wernersson,64,Sweden,LB,23,180,70,58,42,47,66,37,64,51,40,60,66,70,70,65,54,66,49,72,78,62,41,52,54,54,48,31,53,66,63,61,9,10,11,7,10
V. Vevatne,62,Norway,LCB,24,183,73,54,49,52,60,31,59,58,31,55,56,66,67,61,60,70,64,65,68,69,56,56,62,49,37,51,61,59,63,62,8,9,10,7,9
V. Vermeij,65,Netherlands,ST,24,196,91,46,66,78,56,45,55,33,30,44,62,45,55,42,60,52,68,66,66,83,50,31,23,65,56,62,64,27,19,23,9,9,9,13,11
V. Vasić,64,Serbia,GK,29,186,80,17,19,18,27,18,20,13,20,19,19,41,47,32,59,54,49,54,25,61,18,18,23,18,48,28,26,21,19,21,66,58,65,65,66
V. Ulloa,70,Mexico,LDM,27,180,75,44,50,67,75,43,65,67,57,68,67,53,45,67,67,73,79,72,78,69,60,73,68,46,62,53,64,69,64,63,10,14,13,10,15
V. Tasar,61,Germany,LM,22,174,65,58,62,43,59,53,64,48,42,45,62,79,77,69,50,74,68,42,60,41,52,38,17,50,55,53,48,18,28,24,15,14,10,6,8
V. Sulejmani,65,Kosovo,ST,23,185,84,35,66,57,62,57,66,58,54,53,63,63,67,66,65,65,67,73,71,77,53,59,19,65,63,66,63,39,57,26,14,13,12,7,8
V. Pule,69,South Africa,LS,27,169,64,61,76,59,62,58,75,59,55,47,68,83,82,72,52,84,83,60,54,51,67,46,29,72,57,63,59,40,41,34,11,6,5,11,14
V. Prodell,65,Sweden,RS,31,190,86,40,68,66,52,55,56,45,45,38,60,71,71,57,66,52,55,71,61,82,53,40,23,70,57,60,66,25,24,29,7,6,14,6,15
V. Pálsson,70,Iceland,LDM,28,186,77,47,47,63,67,46,56,51,52,63,62,66,69,68,63,60,68,90,88,78,54,84,66,51,62,57,59,67,70,72,8,9,16,8,7
V. Myhra,62,Norway,GK,22,194,94,21,14,15,29,17,17,20,13,21,22,48,40,30,54,51,43,51,33,65,20,26,25,17,42,24,42,15,19,14,63,63,57,60,62
V. Muratori,66,France,LB,31,179,71,65,22,63,56,17,46,47,32,61,63,63,62,70,70,64,22,72,70,67,25,70,63,44,48,46,62,67,64,67,7,13,10,7,15
V. Moreno,61,Colombia,RCB,24,182,83,38,33,50,57,31,48,38,36,55,56,70,71,64,56,59,56,77,64,73,46,61,56,53,51,44,46,58,60,60,11,11,10,8,7
V. Mogoș,70,Romania,RM,26,186,84,68,49,66,66,44,70,70,65,55,68,83,85,58,64,55,72,70,80,82,63,72,59,66,45,37,65,62,70,70,13,8,12,12,10
V. Mantovani,67,Italy,RCB,23,180,70,25,20,63,57,28,41,28,31,41,55,60,55,57,55,68,36,79,73,71,21,69,65,30,29,39,50,67,72,68,12,8,8,6,11
V. Mannone,69,Italy,GK,31,188,80,11,16,14,48,15,15,12,15,33,24,59,60,42,68,44,50,75,31,67,12,29,16,12,57,43,57,23,11,20,67,69,67,69,69
V. Malcorra,70,Argentina,LM,31,170,74,70,61,47,70,49,71,81,82,68,74,73,71,74,69,78,78,79,68,66,65,56,58,60,71,70,71,70,64,56,7,15,12,14,14
V. Leikvoll Moberg,62,Norway,RCM,28,190,84,47,48,65,63,38,57,37,35,61,56,61,63,54,64,53,70,71,86,82,54,73,62,54,57,59,59,59,60,55,11,14,7,10,5
V. Janelt,65,Germany,LDM,21,184,79,50,40,53,67,38,63,48,49,67,68,65,54,66,62,69,66,67,74,66,57,68,67,46,60,52,62,64,64,57,6,8,6,6,14
V. Jacob,68,France,RM,25,171,67,52,58,34,68,67,66,62,65,59,69,77,70,76,64,83,61,54,66,40,59,36,42,65,71,62,68,44,49,38,8,14,9,8,11
V. Hoff,68,Norway,RCM,23,181,74,60,56,59,70,44,67,52,46,68,68,68,70,74,64,80,58,78,79,61,58,57,67,62,66,47,60,69,66,62,12,16,16,8,16
V. Henry,64,France,RWB,25,178,73,68,59,54,68,53,70,66,40,61,69,75,75,72,60,72,67,53,51,60,63,63,58,54,52,55,58,57,62,61,11,13,12,12,14
V. Hedenstad,68,Norway,RB,28,178,74,67,46,52,66,46,67,69,71,57,67,77,74,77,67,75,75,57,82,60,53,67,59,58,62,45,65,63,67,67,12,16,7,7,7
V. Hammershøj-Mistrati,64,Denmark,RCM,27,177,76,58,45,58,68,41,59,57,58,65,67,59,52,71,58,78,59,59,84,57,57,54,56,58,62,46,60,60,49,48,13,15,12,6,12
V. Ghiță,66,Romania,LCB,21,186,80,27,19,59,49,21,27,24,21,29,37,47,44,33,67,53,32,85,57,81,18,74,68,22,31,38,38,63,66,62,7,8,15,15,7
